"p","U:0","U:1","U:2","k","nut","omega","y","yPlus","Vorticity:0","Vorticity:1","Vorticity:2","VectorGradient:0","VectorGradient:1","VectorGradient:2","VectorGradient:3","VectorGradient:4","VectorGradient:5","VectorGradient:6","VectorGradient:7","VectorGradient:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-61.971,44.2,1.6183e-06,0,3.8407,0.0079595,482.52,0.11437,0,-0,0,0.00016152,-0.013447,-0,0,0.00016152,0.010555,0,-0,-0,0,1,0.3,-1.2,0.0127,0.025
-61.962,44.199,3.4949e-06,0,3.7872,0.0079203,478.15,0.099374,0,-0,0,0.00021222,-0.045776,-0,0,0.00021222,0.021286,0,-0,-0,0,1,0.315,-1.185,0.0127,0.025
-61.923,44.198,9.8472e-06,0,3.7352,0.0078792,474.05,0.084374,0,-0,0,0.00085624,-0.060082,-0,0,0.00085624,0.051928,0,-0,-0,0,1,0.33,-1.17,0.0127,0.025
-61.892,44.195,1.9999e-05,0,3.6849,0.0078373,470.17,0.069374,0,-0,0,0.0010752,-0.23689,-0,0,0.0010752,0.10739,0,-0,-0,0,1,0.345,-1.155,0.0127,0.025
-61.627,44.191,7.8597e-05,0,3.6361,0.0077961,466.39,0.054374,0,-0,0,0.0065232,-0.29783,-0,0,0.0065232,0.32531,0,-0,-0,0,1,0.36,-1.14,0.0127,0.025
-61.207,44.165,0.0019785,0,3.5907,0.0073851,482.12,0.038476,0,-0,0,1.1141,-2.2888,0.28959,0,1.4037,27.364,0,-0,-0,0,1,0.375,-1.125,0.0127,0.025
-59.54,33.103,0.011035,0,6.1028,0.0036036,71354,0.01539,2.6713,-0,0,-1.253e+05,-1824.9,1.253e+05,0,0.82194,216.1,0,-0,-0,0,1,0.39,-1.11,0.0127,0.025
-62.347,0,0,0,13.551,0,2.8268e+05,1e-15,10.622,-0,0,-2.2876e+05,-120.05,2.2876e+05,0,-0.16634,348.27,0,-0,-0,0,1,0.405,-1.095,0.0127,0.025
-64.328,-3.7874e-13,-5.7861e-16,0,13.078,-5.4323e-18,2.7999e+05,9.7558e-16,10.431,-0,0,-2.2876e+05,-120.05,2.2876e+05,0,-0.16634,348.27,0,-0,-0,0,1,0.42,-1.08,0.0127,0.025
-66.606,0,0,0,12.485,0,2.7659e+05,1e-15,10.189,-0,0,-1.9567e+05,-63.502,1.9567e+05,0,-0.54623,221.15,0,-0,-0,0,1,0.435,-1.065,0.0127,0.025
-69.303,-3.2652e-13,-2.9433e-16,0,11.724,-7.0935e-19,2.722e+05,9.9825e-16,9.8749,-0,0,-1.9567e+05,-63.502,1.9567e+05,0,-0.54623,221.15,0,-0,-0,0,1,0.45,-1.05,0.0127,0.025
-71.352,0,0,0,11.139,0,2.688e+05,1e-15,9.6289,-0,0,-1.7859e+05,-33.636,1.7859e+05,0,-0.17977,93.187,0,-0,-0,0,1,0.465,-1.035,0.0127,0.025
-72.868,0,0,0,10.701,0,2.662e+05,1e-15,9.4387,-0,0,-1.7859e+05,-33.636,1.7859e+05,0,-0.17977,93.187,0,-0,-0,0,1,0.48,-1.02,0.0127,0.025
-74.453,0,0,0,10.382,0,2.643e+05,1e-15,9.2977,-0,0,-1.6926e+05,-20.849,1.6926e+05,0,-0.068308,50.579,0,-0,-0,0,1,0.495,-1.005,0.0127,0.025
-76.064,0,0,0,10.109,0,2.6266e+05,1e-15,9.1753,-0,0,-1.6926e+05,-20.849,1.6926e+05,0,-0.068308,50.579,0,-0,-0,0,1,0.51,-0.99,0.0127,0.025
-77.589,0,0,0,9.8979,0,2.6138e+05,1e-15,9.0788,-0,0,-1.6328e+05,-14.945,1.6328e+05,0,-0.031464,33.886,0,-0,-0,0,1,0.525,-0.975,0.0127,0.025
-79.103,0,0,0,9.6987,0,2.6017e+05,1e-15,8.9874,-0,0,-1.5897e+05,-11.595,1.5897e+05,0,-0.01836,25.768,0,-0,-0,0,1,0.54,-0.96,0.0127,0.025
-80.592,0,0,0,9.5299,0,2.5914e+05,1e-15,8.9088,-0,0,-1.5897e+05,-11.595,1.5897e+05,0,-0.01836,25.768,0,-0,-0,0,1,0.555,-0.945,0.0127,0.025
