"p","U:0","U:1","U:2","k","nut","omega","y","yPlus","Vorticity:0","Vorticity:1","Vorticity:2","Strain:0","Strain:1","Strain:2","Strain:3","Strain:4","Strain:5","Strain:6","Strain:7","Strain:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.49099e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.37668e+00,0.00000e+00,4.39997e+05,1.00000e-15,3.00613e+00,-0.00000e+00,0.00000e+00,-1.02481e+05,8.85459e-01,5.12404e+04,0.00000e+00,5.12404e+04,-1.75500e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,4.55000e-01,4.55000e-01,0.00000e+00,2.50000e-02
1.41310e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.38136e+00,0.00000e+00,4.40034e+05,1.00000e-15,3.00909e+00,-0.00000e+00,0.00000e+00,-1.02862e+05,1.01479e+00,5.14312e+04,0.00000e+00,5.14312e+04,-1.67622e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,4.60000e-01,4.60000e-01,0.00000e+00,2.50000e-02
1.33709e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.38606e+00,0.00000e+00,4.40071e+05,1.00000e-15,3.01205e+00,-0.00000e+00,0.00000e+00,-1.02862e+05,1.01479e+00,5.14312e+04,0.00000e+00,5.14312e+04,-1.67622e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,4.65000e-01,4.65000e-01,0.00000e+00,2.50000e-02
1.26109e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.39076e+00,0.00000e+00,4.40108e+05,1.00000e-15,3.01501e+00,-0.00000e+00,0.00000e+00,-1.02862e+05,1.01479e+00,5.14312e+04,0.00000e+00,5.14312e+04,-1.67622e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,4.70000e-01,4.70000e-01,0.00000e+00,2.50000e-02
1.18509e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.39545e+00,0.00000e+00,4.40145e+05,1.00000e-15,3.01797e+00,-0.00000e+00,0.00000e+00,-1.02862e+05,1.01479e+00,5.14312e+04,0.00000e+00,5.14312e+04,-1.67622e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,4.75000e-01,4.75000e-01,0.00000e+00,2.50000e-02
1.08131e+00,5.03951e-01,-5.43071e-06,0.00000e+00,2.39901e+00,3.51282e-07,4.40173e+05,7.36200e-04,2.82596e+00,-0.00000e+00,0.00000e+00,-8.48207e+04,8.61856e+01,4.24103e+04,0.00000e+00,4.24103e+04,-1.46123e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,4.80000e-01,4.80000e-01,0.00000e+00,2.50000e-02
9.58151e-01,1.35963e+00,-1.46517e-05,0.00000e+00,2.40178e+00,9.47737e-07,4.40195e+05,1.98622e-03,2.49787e+00,-0.00000e+00,0.00000e+00,-8.48207e+04,8.61856e+01,4.24103e+04,0.00000e+00,4.24103e+04,-1.46123e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,4.85000e-01,4.85000e-01,0.00000e+00,2.50000e-02
8.34991e-01,2.21530e+00,-2.38727e-05,0.00000e+00,2.40454e+00,1.54419e-06,4.40217e+05,3.23623e-03,2.16977e+00,-0.00000e+00,0.00000e+00,-8.48207e+04,8.61856e+01,4.24103e+04,0.00000e+00,4.24103e+04,-1.46123e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,4.90000e-01,4.90000e-01,0.00000e+00,2.50000e-02
7.11830e-01,3.07097e+00,-3.30936e-05,0.00000e+00,2.40730e+00,2.14064e-06,4.40239e+05,4.48625e-03,1.84168e+00,-0.00000e+00,0.00000e+00,-8.48207e+04,8.61856e+01,4.24103e+04,0.00000e+00,4.24103e+04,-1.46123e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,4.95000e-01,4.95000e-01,0.00000e+00,2.50000e-02
5.88670e-01,3.92664e+00,-4.23145e-05,0.00000e+00,2.41006e+00,2.73709e-06,4.40260e+05,5.73626e-03,1.51359e+00,-0.00000e+00,0.00000e+00,-8.48207e+04,8.61856e+01,4.24103e+04,0.00000e+00,4.24103e+04,-1.46123e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1,5.00000e-01,5.00000e-01,0.00000e+00,2.50000e-02
