"p","U:0","U:1","U:2","k","nut","omega","yPlus","Vorticity:0","Vorticity:1","Vorticity:2","VectorGradient:0","VectorGradient:1","VectorGradient:2","VectorGradient:3","VectorGradient:4","VectorGradient:5","VectorGradient:6","VectorGradient:7","VectorGradient:8","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-91.101,0,0,0,8.8567,0,2.5499e+05,8.5887,-0,0,-1.5001e+05,-5.6719,1.5001e+05,0,-0.0048549,12.535,0,-0,-0,0,1,0.675,-0.825,0.0127,0.025
-92.45,0,0,0,8.7731,0,2.5446e+05,8.548,-0,0,-1.485e+05,-5.1152,1.485e+05,0,-0.0040655,11.288,0,-0,-0,0,1,0.69,-0.81,0.0127,0.025
-93.789,0,0,0,8.6937,0,2.5397e+05,8.5093,-0,0,-1.4717e+05,-4.6515,1.4717e+05,0,-0.0034801,10.259,0,-0,-0,0,1,0.705,-0.795,0.0127,0.025
-95.116,2.5489e-13,1.7222e-17,0,8.6199,7.8963e-19,2.5351e+05,8.4731,-0,0,-1.4717e+05,-4.6515,1.4717e+05,0,-0.0034801,10.259,0,-0,-0,0,1,0.72,-0.78,0.0127,0.025
-96.43,0,0,0,8.5509,0,2.5307e+05,8.4391,-0,0,-1.4599e+05,-4.2647,1.4599e+05,0,-0.0029901,9.3992,0,-0,-0,0,1,0.735,-0.765,0.0127,0.025
-97.736,0,0,0,8.4852,0,2.5266e+05,8.4066,-0,0,-1.4493e+05,-3.94,1.4493e+05,0,-0.0026116,8.6734,0,-0,-0,0,1,0.75,-0.75,0.0127,0.025
-99.034,0,0,0,8.4227,0,2.5227e+05,8.3757,-0,0,-1.4397e+05,-3.6591,1.4397e+05,0,-0.0023233,8.0498,0,-0,-0,0,1,0.765,-0.735,0.0127,0.025
-100.32,0,0,0,8.3643,0,2.519e+05,8.3465,-0,0,-1.4397e+05,-3.6591,1.4397e+05,0,-0.0023233,8.0498,0,-0,-0,0,1,0.78,-0.72,0.0127,0.025
-101.6,0,0,0,8.3088,0,2.5155e+05,8.3188,-0,0,-1.4309e+05,-3.415,1.4309e+05,0,-0.002067,7.5089,0,-0,-0,0,1,0.795,-0.705,0.0127,0.025
-102.87,0,0,0,8.2558,0,2.5122e+05,8.2923,-0,0,-1.423e+05,-3.2042,1.423e+05,0,-0.0018469,7.0387,0,-0,-0,0,1,0.81,-0.69,0.0127,0.025
-104.13,0,0,0,8.2052,0,2.509e+05,8.2668,-0,0,-1.4157e+05,-3.0188,1.4157e+05,0,-0.0016808,6.6255,0,-0,-0,0,1,0.825,-0.675,0.0127,0.025
-105.39,0,0,0,8.1569,0,2.5059e+05,8.2425,-0,0,-1.409e+05,-2.8526,1.409e+05,0,-0.0015435,6.2572,0,-0,-0,0,1,0.84,-0.66,0.0127,0.025
